2048	3	0   0
0	0	321	289
1	81	705	289
2	97	705	321
3	705	321	289
4	33	322	514
5	193	706	514
6	97	706	322
7	706	322	514
8	25	290	513
9	193	707	513
10	81	707	290
11	707	290	513
12	193	706	707
13	81	705	707
14	97	705	706
15	705	706	707
16	9	417	291
17	82	708	291
18	145	708	417
19	708	417	291
20	57	418	516
21	194	709	516
22	145	709	418
23	709	418	516
24	25	292	515
25	194	710	515
26	82	710	292
27	710	292	515
28	194	709	710
29	82	708	710
30	145	708	709
31	708	709	710
32	13	419	323
33	98	711	323
34	146	711	419
35	711	419	323
36	57	420	518
37	195	712	518
38	146	712	420
39	712	420	518
40	33	324	517
41	195	713	517
42	98	713	324
43	713	324	517
44	195	712	713
45	98	711	713
46	146	711	712
47	711	712	713
48	57	518	516
49	194	714	516
50	195	714	518
51	714	518	516
52	33	517	514
53	193	715	514
54	195	715	517
55	715	517	514
56	25	515	513
57	193	716	513
58	194	716	515
59	716	515	513
60	193	715	716
61	194	714	716
62	195	714	715
63	714	715	716
64	6	325	373
65	123	717	373
66	99	717	325
67	717	325	373
68	34	326	519
69	196	718	519
70	99	718	326
71	718	326	519
72	46	374	520
73	196	719	520
74	123	719	374
75	719	374	520
76	196	718	719
77	123	717	719
78	99	717	718
79	717	718	719
80	19	423	375
81	124	720	375
82	148	720	423
83	720	423	375
84	58	424	522
85	197	721	522
86	148	721	424
87	721	424	522
88	46	376	521
89	197	722	521
90	124	722	376
91	722	376	521
92	197	721	722
93	124	720	722
94	148	720	721
95	720	721	722
96	13	421	327
97	100	723	327
98	147	723	421
99	723	421	327
100	58	422	524
101	198	724	524
102	147	724	422
103	724	422	524
104	34	328	523
105	198	725	523
106	100	725	328
107	725	328	523
108	198	724	725
109	100	723	725
110	147	723	724
111	723	724	725
112	58	524	522
113	197	726	522
114	198	726	524
115	726	524	522
116	34	523	519
117	196	727	519
118	198	727	523
119	727	523	519
120	46	521	520
121	196	728	520
122	197	728	521
123	728	521	520
124	196	727	728
125	197	726	728
126	198	726	727
127	726	727	728
128	4	293	369
129	121	729	369
130	83	729	293
131	729	293	369
132	26	294	525
133	199	730	525
134	83	730	294
135	730	294	525
136	45	370	526
137	199	731	526
138	121	731	370
139	731	370	526
140	199	730	731
141	121	729	731
142	83	729	730
143	729	730	731
144	19	427	371
145	122	732	371
146	150	732	427
147	732	427	371
148	59	428	528
149	200	733	528
150	150	733	428
151	733	428	528
152	45	372	527
153	200	734	527
154	122	734	372
155	734	372	527
156	200	733	734
157	122	732	734
158	150	732	733
159	732	733	734
160	9	425	295
161	84	735	295
162	149	735	425
163	735	425	295
164	59	426	530
165	201	736	530
166	149	736	426
167	736	426	530
168	26	296	529
169	201	737	529
170	84	737	296
171	737	296	529
172	201	736	737
173	84	735	737
174	149	735	736
175	735	736	737
176	59	530	528
177	200	738	528
178	201	738	530
179	738	530	528
180	26	529	525
181	199	739	525
182	201	739	529
183	739	529	525
184	45	527	526
185	199	740	526
186	200	740	527
187	740	527	526
188	199	739	740
189	200	738	740
190	201	738	739
191	738	739	740
192	19	423	427
193	150	741	427
194	148	741	423
195	741	423	427
196	58	424	531
197	202	742	531
198	148	742	424
199	742	424	531
200	59	428	532
201	202	743	532
202	150	743	428
203	743	428	532
204	202	742	743
205	150	741	743
206	148	741	742
207	741	742	743
208	9	417	425
209	149	744	425
210	145	744	417
211	744	417	425
